Country ID,Country Code,Country Name,Region ID,Region Name,Income Group ID,Income Group Name,Income Group Acronym,Managing Agency ID,Managing Agency Acronym,Managing Agency Name,Managing Sub-agency or Bureau ID,Managing Sub-agency or Bureau Acronym,Managing Sub-agency or Bureau Name,Implementing Partner Category ID,Implementing Partner Category Name,Implementing Partner Sub-category ID,Implementing Partner Sub-category Name,Implementing Partner ID,Implementing Partner Name,International Category ID,International Category Name,International Sector Code,International Sector Name,International Purpose Code,International Purpose Name,US Category ID,US Category Name,US Sector ID,US Sector Name,Funding Account ID,Funding Account Name,Funding Agency ID,Funding Agency Name,Funding Agency Acronym,Foreign Assistance Objective ID,Foreign Assistance Objective Name,Aid Type Group ID,Aid Type Group Name,Activity ID,Submission ID,Activity Name,Activity Description,Activity Project Number,Activity Start Date,Activity End Date,Transaction Type ID,Transaction Type Name,Fiscal Year,Transaction Date,Current Dollar Amount,Constant Dollar Amount,aid_type_id,aid_type_name,activity_budget_amount,submission_activity_id
4,AFG,Afghanistan,4,South and Central Asia,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,20,ASIA,Bureau for Asia,1,Government,1,Government - United States,1000003,U.S. Government - Department of Defense,2,Health and Population,121,"Health, General",12110,Health policy and administrative management,3,Health,15,Other Public Health Threats,72x1095,"Agency for International Development, Child Survival and Health Programs Fund",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,165565,76,Office of Social Sector Development - HEALTH,Office of Social Sector Development - HEALTH,306-002,,,2,Obligations,2005,30SEP2005,1244063,1868620,8,Project-type interventions - not Investment Related,.,27032
4,AFG,Afghanistan,4,South and Central Asia,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,20,ASIA,Bureau for Asia,1,Government,1,Government - United States,1000003,U.S. Government - Department of Defense,2,Health and Population,121,"Health, General",12110,Health policy and administrative management,3,Health,15,Other Public Health Threats,72x1095,"Agency for International Development, Child Survival and Health Programs Fund",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,165565,76,Office of Social Sector Development - HEALTH,Office of Social Sector Development - HEALTH,306-002,,,2,Obligations,2006,01JUN2006,-58362,-84903,8,Project-type interventions - not Investment Related,.,27032
4,AFG,Afghanistan,4,South and Central Asia,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,20,ASIA,Bureau for Asia,1,Government,1,Government - United States,1000003,U.S. Government - Department of Defense,2,Health and Population,121,"Health, General",12110,Health policy and administrative management,3,Health,15,Other Public Health Threats,72x1095,"Agency for International Development, Child Survival and Health Programs Fund",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,165565,76,Office of Social Sector Development - HEALTH,Office of Social Sector Development - HEALTH,306-002,,,3,Disbursements,2005,30SEP2005,4052,6087,8,Project-type interventions - not Investment Related,.,27032
4,AFG,Afghanistan,4,South and Central Asia,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,20,ASIA,Bureau for Asia,1,Government,1,Government - United States,1000003,U.S. Government - Department of Defense,2,Health and Population,121,"Health, General",12110,Health policy and administrative management,3,Health,15,Other Public Health Threats,72x1095,"Agency for International Development, Child Survival and Health Programs Fund",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,165565,76,Office of Social Sector Development - HEALTH,Office of Social Sector Development - HEALTH,306-002,,,3,Disbursements,2006,01NOV2005,18564,27006,8,Project-type interventions - not Investment Related,.,27032
4,AFG,Afghanistan,4,South and Central Asia,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,20,ASIA,Bureau for Asia,1,Government,1,Government - United States,1000003,U.S. Government - Department of Defense,2,Health and Population,121,"Health, General",12110,Health policy and administrative management,3,Health,15,Other Public Health Threats,72x1095,"Agency for International Development, Child Survival and Health Programs Fund",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,165565,76,Office of Social Sector Development - HEALTH,Office of Social Sector Development - HEALTH,306-002,,,3,Disbursements,2006,01DEC2005,4616,6716,8,Project-type interventions - not Investment Related,.,27032
4,AFG,Afghanistan,4,South and Central Asia,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,20,ASIA,Bureau for Asia,1,Government,1,Government - United States,1000003,U.S. Government - Department of Defense,2,Health and Population,121,"Health, General",12110,Health policy and administrative management,3,Health,15,Other Public Health Threats,72x1095,"Agency for International Development, Child Survival and Health Programs Fund",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,165565,76,Office of Social Sector Development - HEALTH,Office of Social Sector Development - HEALTH,306-002,,,3,Disbursements,2006,01JAN2006,28895,42036,8,Project-type interventions - not Investment Related,.,27032
4,AFG,Afghanistan,4,South and Central Asia,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,20,ASIA,Bureau for Asia,1,Government,1,Government - United States,1000003,U.S. Government - Department of Defense,2,Health and Population,121,"Health, General",12110,Health policy and administrative management,3,Health,15,Other Public Health Threats,72x1095,"Agency for International Development, Child Survival and Health Programs Fund",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,165565,76,Office of Social Sector Development - HEALTH,Office of Social Sector Development - HEALTH,306-002,,,3,Disbursements,2006,01FEB2006,19245,27997,8,Project-type interventions - not Investment Related,.,27032
4,AFG,Afghanistan,4,South and Central Asia,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,20,ASIA,Bureau for Asia,1,Government,1,Government - United States,1000003,U.S. Government - Department of Defense,2,Health and Population,121,"Health, General",12110,Health policy and administrative management,3,Health,15,Other Public Health Threats,72x1095,"Agency for International Development, Child Survival and Health Programs Fund",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,165565,76,Office of Social Sector Development - HEALTH,Office of Social Sector Development - HEALTH,306-002,,,3,Disbursements,2006,01MAR2006,44729,65070,8,Project-type interventions - not Investment Related,.,27032
4,AFG,Afghanistan,4,South and Central Asia,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,20,ASIA,Bureau for Asia,1,Government,1,Government - United States,1000003,U.S. Government - Department of Defense,2,Health and Population,121,"Health, General",12110,Health policy and administrative management,3,Health,15,Other Public Health Threats,72x1095,"Agency for International Development, Child Survival and Health Programs Fund",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,165565,76,Office of Social Sector Development - HEALTH,Office of Social Sector Development - HEALTH,306-002,,,3,Disbursements,2006,01APR2006,25875,37642,8,Project-type interventions - not Investment Related,.,27032
4,AFG,Afghanistan,4,South and Central Asia,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,20,ASIA,Bureau for Asia,1,Government,1,Government - United States,1000003,U.S. Government - Department of Defense,2,Health and Population,121,"Health, General",12110,Health policy and administrative management,3,Health,15,Other Public Health Threats,72x1095,"Agency for International Development, Child Survival and Health Programs Fund",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,165565,76,Office of Social Sector Development - HEALTH,Office of Social Sector Development - HEALTH,306-002,,,3,Disbursements,2006,01MAY2006,50523,73499,8,Project-type interventions - not Investment Related,.,27032
